member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian
r9i1p1f1,65,factual,2014-11-16 00:00:00,-5.6305275,310.93024,0.9999988904253457,0.0,0.9997966826168736,0.9999999908817905,1.0,0.9999999802587705
r9i1p1f1,66,factual,2014-11-16 00:00:00,45.42253,71.80556,0.9226660010512562,0.0,0.816497332695681,0.9783541644252279,0.9456556588142204,0.9488532218407661
r9i1p1f1,67,factual,2014-12-16 12:00:00,-0.4225353,303.6905,0.9997538314042359,0.9985922636416127,0.9051355251304638,0.9994377509942308,0.9996922181115494,0.9999999985546247
r9i1p1f1,68,factual,2014-12-16 12:00:00,2.3830984,286.9,0.9999974797538775,0.9999733634719347,0.9672208218732973,0.9994329638730227,0.9928570179304356,0.9999999991600426
r9i1p1f1,0,counterfactual,2004-08-16 12:00:00,-76.30986,68.75,0.1419975124719124,0.0,0.9234318063846194,0.9683965772273816,0.0,0.9918870132006807
r9i1p1f1,1,counterfactual,2006-01-16 12:00:00,-29.630281,149.0625,0.4817815265681412,0.0,1.0,1.0,0.0,-0.06932984797693353
r9i1p1f1,2,counterfactual,2007-04-16 00:00:00,32.349297,251.1,0.29836963216987944,0.0,0.8858160837583734,0.9927924224669905,0.0,0.9745260711304091
r9i1p1f1,3,counterfactual,2009-03-16 12:00:00,61.190784,136.64772,0.11352335589560503,0.9999999998969632,0.9999999218270318,0.9999999998238456,0.0,0.6515191936303207
r9i1p1f1,4,counterfactual,2009-12-16 12:00:00,51.856594,74.545456,0.3215527991370749,0.9927340455157408,0.9999113825245105,0.9999871987920183,0.0,-0.7586253939857479
r9i1p1f1,5,counterfactual,2010-12-16 12:00:00,-9.929578,29.791666,0.08839875253718776,0.0,1.0,1.0,0.0,0.9996995048133992
r9i1p1f1,6,counterfactual,2011-10-16 12:00:00,-17.527925,315.2586,0.29942851090073674,0.9825137858012867,0.8020528175687399,0.9383911980015189,0.0,0.8485801646465982
r9i1p1f1,7,counterfactual,2012-02-15 12:00:00,71.33163,148.40909,0.3570094741918761,0.3058049233621484,1.0,1.0,0.0,0.9472638507395318
r9i1p1f1,8,counterfactual,2012-02-15 12:00:00,54.312027,263.84616,0.19639595599342707,0.0,0.9338815537854492,0.9986160859808015,0.0,0.9530689117643755
r9i1p1f1,9,counterfactual,2012-04-16 00:00:00,38.661976,108.4375,0.5035092160904313,0.0,0.9020267567105982,0.9999983332502632,0.0,0.6531776675940351
r9i1p1f1,10,counterfactual,2012-04-16 00:00:00,16.69014,16.5625,0.27274624782410606,0.93636123474942,1.0,1.0,0.0,0.4446482587597852
r9i1p1f1,11,counterfactual,2012-05-16 12:00:00,66.97183,313.02084,0.2726809664307104,0.0,0.999999999616124,0.9999999999980588,0.0,0.9836249209306367
r9i1p1f1,12,counterfactual,2014-01-16 12:00:00,39.61268,261.66666,0.4175682160929993,0.679757960389936,1.0,1.0,0.0,0.9999991745873072
r9i1p1f1,13,counterfactual,2014-04-16 00:00:00,43.943665,275.27777,0.26354852201299395,0.0,1.0,1.0,0.0,0.29120742900133656
r10i1p1f1,0,factual,2004-01-16 12:00:00,48.882812,92.160194,0.9835841597112608,0.9966919153397125,0.8659679447206676,0.9954516820530027,0.9595128517676254,0.9998938573672496
r10i1p1f1,1,factual,2004-02-15 12:00:00,34.503605,59.73577,0.9932535281484612,0.0,0.9512373970958367,0.9987314796474909,0.9806048785848679,0.9998633513187916
r10i1p1f1,2,factual,2004-02-15 12:00:00,46.670933,19.09091,0.8774439130601752,0.9647796012138476,0.979710969234398,0.9999736788669084,0.8293932704709835,0.8978078095815292
r10i1p1f1,3,factual,2004-03-16 12:00:00,19.267607,53.833332,0.9980661943999936,0.0,0.9992871206600287,0.9999769761503546,0.9258487882876735,0.9983749689691733
r10i1p1f1,4,factual,2004-03-16 12:00:00,52.35211,13.5,0.9158481472017144,0.0,0.9861797552202227,0.9999994398098415,0.8118199879172604,0.9153286946169622
r10i1p1f1,5,factual,2004-04-16 00:00:00,-68.52993,128.59375,0.8375299091677669,0.0,0.9535357978961554,0.9993622657133996,0.9409222025606799,0.9999999752277957
r10i1p1f1,6,factual,2004-05-16 12:00:00,33.138836,4.642857,0.9935495144544961,0.0,0.9831849046720228,0.9999835793489708,0.9018874631670835,0.40119657142967846
