member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian
r9i1p1f1,80,counterfactual,2008-11-16 00:00:00,71.71478,274.75,0.9315866426380728,0.31488860571931343,0.48947984768939456,0.9351960412246221
r9i1p1f1,81,counterfactual,2008-11-16 00:00:00,79.932655,289.27536,0.7610671512636343,0.30986512275439515,0.5578998199753735,0.9515877643665497
r9i1p1f1,82,counterfactual,2008-12-16 12:00:00,62.971382,200.8871,0.02716970355008197,0.035912731098953876,0.010177791759325538,0.0
r9i1p1f1,83,counterfactual,2009-01-16 12:00:00,38.771835,90.333336,0.5351521316801154,0.09004934600139602,0.030451683143417507,0.041889628441854176
r9i1p1f1,84,counterfactual,2009-01-16 12:00:00,62.930996,160.56963,0.00101749056618472,0.0070596087276333375,0.0,0.0
r9i1p1f1,85,counterfactual,2009-01-16 12:00:00,77.02317,305.38135,0.1954064969518714,0.10490370259744564,0.0,0.06823928693148051
r9i1p1f1,86,counterfactual,2009-02-15 00:00:00,31.025427,264.93903,0.6809402242594438,0.3136255417067958,0.0,0.3852539107725782
r9i1p1f1,87,counterfactual,2009-02-15 00:00:00,35.91968,101.75742,0.269338015087381,0.050143979535048344,0.0,0.0
r9i1p1f1,88,counterfactual,2009-02-15 00:00:00,65.29715,166.89024,0.3372025809349656,0.14634988615077715,0.0,0.2061158985226368
r9i1p1f1,89,counterfactual,2009-03-16 12:00:00,48.599525,9.009434,0.12493370360992861,0.0795754803853298,0.0,0.0
r9i1p1f1,90,counterfactual,2009-04-16 00:00:00,19.195173,30.714285,0.09577842000011005,0.01413517879978421,0.0,0.0
r9i1p1f1,91,counterfactual,2009-06-16 00:00:00,-72.95635,89.653465,0.7410681363289775,0.22012147366824308,0.15995426137467972,0.533300403195291
r9i1p1f1,92,counterfactual,2009-08-16 12:00:00,24.747118,25.625,0.0573450593590783,0.016865779940450132,0.0,0.0
r9i1p1f1,93,counterfactual,2009-09-16 00:00:00,34.499424,252.02702,0.02005930095965547,0.017785700915248115,0.0,0.0
r9i1p1f1,94,counterfactual,2009-10-16 12:00:00,-14.560334,312.56757,0.1718288366904952,0.058554827458133785,0.0,0.0
r9i1p1f1,95,counterfactual,2009-11-16 00:00:00,39.239017,250.97015,0.21945527558109934,0.059037336478320435,0.0,0.006672891782924295
r9i1p1f1,96,counterfactual,2009-11-16 00:00:00,80.52177,313.52274,0.02705492888121419,0.02804908761899183,0.0,0.0
r9i1p1f1,97,counterfactual,2009-12-16 12:00:00,58.26221,57.19925,0.7149266235250136,0.28015082692871307,0.36264349420324726,0.6402550313705672
r9i1p1f1,98,counterfactual,2009-12-16 12:00:00,64.64789,125.0,0.19533037090105754,0.15179222148156912,0.0,0.17255550825518262
r9i1p1f1,99,counterfactual,2010-01-16 12:00:00,-0.08178102,20.483871,0.27261582496218084,0.17224259208018078,0.0,0.2155691022924422
r9i1p1f1,100,counterfactual,2010-01-16 12:00:00,46.184933,7.3369565,0.716845948099462,0.2771565605720643,0.08744569240619815,0.9024056500560828
r9i1p1f1,101,counterfactual,2010-02-15 00:00:00,45.770847,82.24099,0.043987830534916283,0.02830047706470884,0.0,0.0
r9i1p1f1,102,counterfactual,2010-03-16 12:00:00,35.492954,115.78571,0.34519855888586315,0.05045757605795698,0.0,0.0
r9i1p1f1,103,counterfactual,2010-03-16 12:00:00,43.890846,266.32812,0.7866167915357659,0.19015086562273076,0.16521421430437866,0.2926346153608447
r9i1p1f1,104,counterfactual,2010-03-16 12:00:00,64.27688,167.56097,0.34390628629178754,0.11665748075581472,0.005875463552377891,0.2813674235774679
r9i1p1f1,105,counterfactual,2010-05-16 12:00:00,-77.10107,263.04944,0.00047013578508636744,0.0015263954355935194,0.0,0.0
r9i1p1f1,106,counterfactual,2010-05-16 12:00:00,-21.756252,134.54082,0.27310061221015125,0.08799589141023267,0.015043990676474217,0.17698610987766272
r9i1p1f1,107,counterfactual,2010-06-16 00:00:00,-5.028169,297.33334,0.34013881691791836,0.2144700146156212,0.0,0.0
r9i1p1f1,108,counterfactual,2010-09-16 00:00:00,-9.941536,297.32706,0.2973389493817439,0.17137231043062284,0.0,0.03795574889043396
r9i1p1f1,109,counterfactual,2010-09-16 00:00:00,39.007683,248.25757,0.13700927301205124,0.027888427421150386,0.0,0.0
r9i1p1f1,110,counterfactual,2010-10-16 12:00:00,-11.06274,302.32956,0.45474520576984645,0.22267661933775773,0.0,0.3006862643304635
r9i1p1f1,111,counterfactual,2010-11-16 00:00:00,39.073944,48.5625,0.17067571774150492,0.0444725479216882,0.0,0.0
r9i1p1f1,112,counterfactual,2010-11-16 00:00:00,41.999996,243.38889,0.06775495955352306,0.02047844847525493,0.0,0.0
r9i1p1f1,113,counterfactual,2010-12-16 12:00:00,37.536263,57.61194,0.47683197743198136,0.10781576206424148,0.025737184263249113,0.14553924993977818
r9i1p1f1,114,counterfactual,2010-12-16 12:00:00,56.425583,291.0811,0.9863843322979317,0.31859051761513035,0.9502005263776704,0.9996169885769833
r9i1p1f1,115,counterfactual,2010-12-16 12:00:00,76.490616,310.82175,0.6296289818110805,0.24466327743257854,0.21251291851089937,0.6921825463802531
r9i1p1f1,116,counterfactual,2010-12-16 12:00:00,69.60809,281.73914,0.9684965562842209,0.2712583646099497,0.340962410835825,0.9877999536899251
r9i1p1f1,117,counterfactual,2011-01-16 12:00:00,20.070421,12.670455,0.3523495605719015,0.15843788394061464,0.0,0.0
r9i1p1f1,118,counterfactual,2011-01-16 12:00:00,15.290493,354.29688,0.37400118856337883,0.135030795314238,0.0,0.12311124524790651
r9i1p1f1,119,counterfactual,2011-01-16 12:00:00,39.940197,55.71229,0.3297332677314295,0.11447739839440318,0.009536886123292065,0.0662398926587544
