member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_50_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r6i1p1f1,24,counterfactual,2012-07-16 12:00:00,-87.076065,69.03333,0.02807651982018411,0.0,0.0,0.0,0.0
r6i1p1f1,25,counterfactual,2013-02-15 00:00:00,20.71453,48.048782,0.8086045057939892,0.5092565021472366,0.1050792813019833,0.0,0.0
r6i1p1f1,26,counterfactual,2013-12-16 12:00:00,56.19718,262.66666,0.00031346193598724703,0.0005778124568810439,0.0,0.014654215981425578,0.004010742133405798
r6i1p1f1,27,counterfactual,2014-02-15 00:00:00,18.549294,5.25,0.10341093198867235,0.0004226986246329556,0.0,0.06359403312574285,0.023960153948404117
r6i1p1f1,28,counterfactual,2014-02-15 00:00:00,16.151749,351.7742,0.006790683590228164,0.00222982564055485,0.0,0.012157455816549367,0.0
r6i1p1f1,29,counterfactual,2014-03-16 12:00:00,27.344067,9.892858,0.9464762126059558,0.524837379116007,0.41850122289780745,0.7444101226942579,0.9932121262058451
r7i1p1f1,0,factual,2004-12-16 12:00:00,73.0,320.8611,0.9587709281127467,0.9950288745874536,0.9169732335146039,0.8825472264911526,0.0
r7i1p1f1,1,factual,2005-02-15 00:00:00,67.37812,260.28845,0.9305067610559716,0.9799024204698169,0.6291738110249916,0.0,0.9733821642630514
r7i1p1f1,2,factual,2006-02-15 00:00:00,25.171024,23.782467,0.6736064344586925,0.9948490849456181,0.537825496085034,0.0,0.9999999987443404
r7i1p1f1,3,factual,2006-11-16 00:00:00,70.39436,114.0,0.9326922064115784,0.9919915860013059,0.8338668945287103,0.0,0.0
r7i1p1f1,4,factual,2007-01-16 12:00:00,13.151408,28.75,0.7893077221674559,0.9930019288063315,0.24253879000745837,0.04383599165056229,0.6463235701786245
r7i1p1f1,5,factual,2007-06-16 00:00:00,-68.40982,125.241936,0.9918168642666813,0.5859223991258646,0.7593949695701548,0.5104739686081146,0.8025834369753125
r7i1p1f1,6,factual,2007-07-16 12:00:00,57.12148,125.078125,0.977460066642969,0.9756814221834524,0.9674264708934621,0.8697494535565741,0.9999829578239222
r7i1p1f1,7,factual,2007-12-16 12:00:00,51.948357,292.68518,0.8798210735127596,0.9889899766124896,0.988822868790923,0.0,0.10671179277778542
r7i1p1f1,8,factual,2007-12-16 12:00:00,73.28345,319.14062,0.985904600099224,0.9471736126732777,0.5730172939922615,0.0,0.0
r7i1p1f1,9,factual,2008-05-16 12:00:00,-79.01409,257.67856,0.9768582541973595,0.5658677354011937,0.7403357273969713,0.0,0.0
r7i1p1f1,10,factual,2011-02-15 00:00:00,44.97815,90.86207,0.959305899536207,0.9062765511221387,0.2700040468239181,0.5087643451525974,0.9715578365566309
r7i1p1f1,11,factual,2011-12-16 12:00:00,56.209793,81.45522,0.9864269920886481,0.9320233938474453,0.7706839858874711,0.5601407307541035,0.7680419420810363
r7i1p1f1,12,factual,2012-01-16 12:00:00,70.866325,100.37736,0.9997129063214745,0.9931972162595538,0.6839962596324791,0.5383525268888503,0.740174204509901
r7i1p1f1,13,factual,2012-07-16 12:00:00,-83.60739,177.34506,0.973411257677045,0.9645792583269849,0.8096065530057448,0.9995334421370122,0.9988362953343511
r7i1p1f1,14,factual,2012-12-16 12:00:00,33.031235,269.74637,0.9907189812798,0.9755857143266656,0.8285575759533278,0.0,0.0
r7i1p1f1,15,factual,2013-01-16 12:00:00,65.75193,152.8629,0.9999780634757397,0.96234837012195,0.9198951889495478,0.9301878357906761,0.9995336278079423
r7i1p1f1,16,factual,2014-05-16 12:00:00,-87.369995,162.84187,0.9848827215118859,0.8284779314097872,0.7566320298514757,0.5771100315252479,0.9401886742074388
r7i1p1f1,17,factual,2014-05-16 12:00:00,-27.517603,138.28125,0.9073163016841296,0.9792414711039044,0.8237151440265957,0.6628284420189585,0.9994969268621849
r7i1p1f1,18,factual,2014-06-16 00:00:00,-19.140844,143.33333,0.7262972125603956,0.9848436779192139,0.9349913090884557,0.9955801538483189,0.9999666376560127
r7i1p1f1,0,counterfactual,2004-12-16 12:00:00,73.0,320.8611,0.09887714318963148,0.06992337881232868,0.021419043804692395,0.048885819165388034,0.0
r7i1p1f1,1,counterfactual,2005-02-15 00:00:00,67.37812,260.28845,0.0124434301854911,0.008105390951359426,0.0,0.0,0.0
