member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_gaussian,pn_dyn_adj_dml_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r4i1p1f1,1,counterfactual,2005-01-16 12:00:00,58.672035,263.57144,0.40114526122817795,0.0,0.23177800988617303,0.13541398314182274,0.0,0.3946362234541033,0.0
r4i1p1f1,2,counterfactual,2005-07-16 12:00:00,-89.84055,174.76414,0.3060507968980867,0.0,0.06861550476597844,0.022546675368388724,0.0,0.256913883759038,0.0
r4i1p1f1,3,counterfactual,2005-07-16 12:00:00,-81.12674,138.81818,0.5692090528768059,0.0,0.3000882123387113,0.1871657349406577,0.02359618273344488,0.69636487618822,0.677104482031383
r4i1p1f1,4,counterfactual,2006-02-15 00:00:00,18.814886,7.428571,0.27809388101111676,0.0,0.0,0.0,0.0,0.12227065953430505,0.0
r4i1p1f1,5,counterfactual,2006-02-15 00:00:00,16.812454,353.75,0.2926102157538659,0.0,0.0,0.0,0.0,0.26225717952266336,0.0
r4i1p1f1,6,counterfactual,2006-04-16 00:00:00,52.028175,258.94446,0.03606748618537903,0.0,0.0,0.0,0.0,0.0,0.0
r4i1p1f1,7,counterfactual,2006-11-16 00:00:00,71.94003,316.9086,0.6460698200851551,0.0,0.0,0.0,0.0,0.9024864139347493,0.0
r4i1p1f1,8,counterfactual,2007-02-15 00:00:00,20.242077,22.03125,0.38861135175427497,0.0,0.0,0.0,0.0,0.0,0.0
r4i1p1f1,9,counterfactual,2007-06-16 00:00:00,-86.32922,140.1302,0.33194173828567797,0.0,0.012736253290286603,0.012562074683268754,0.0,0.0,0.0
r4i1p1f1,10,counterfactual,2007-12-16 12:00:00,63.653904,89.52643,0.13163506041081452,0.0,0.0,0.0,0.0,0.0,0.2202528687285178
r4i1p1f1,11,counterfactual,2009-01-16 12:00:00,44.584507,102.763885,0.10623717013179246,0.0,0.0,0.0,0.0,0.07678974059848043,0.010579951113233066
r4i1p1f1,12,counterfactual,2009-03-16 12:00:00,46.824585,57.878788,0.13210885863125577,0.0,0.0,0.009430709835625106,0.0,0.0827788283632872,0.0
r4i1p1f1,13,counterfactual,2009-05-16 12:00:00,-82.788734,7.9444447,0.209456905286191,0.0,0.0,0.0,0.0,0.11630323419856514,0.0
r4i1p1f1,14,counterfactual,2009-05-16 12:00:00,-82.448875,339.8925,0.32015007545712526,0.0,0.0,0.0,0.0,0.35272278822586944,0.0
r4i1p1f1,15,counterfactual,2009-05-16 12:00:00,19.90141,98.5,0.4942553490107532,0.0,0.0,0.0,0.0,0.0,0.33206872651541974
r4i1p1f1,16,counterfactual,2009-06-16 00:00:00,-30.115238,297.42426,0.19983069846855728,0.0,0.0,0.0,0.0,0.15400526256854574,0.0
r4i1p1f1,17,counterfactual,2010-12-16 12:00:00,36.81952,275.75583,0.08903557747598934,0.001122397052694235,0.0,0.0,0.0,0.0,0.023910061919292236
r4i1p1f1,18,counterfactual,2011-07-16 12:00:00,-86.71369,163.69403,0.08641251018123675,0.0068486033042910455,0.0,0.0,0.0,0.09730136393041433,0.0
r4i1p1f1,19,counterfactual,2012-10-16 12:00:00,-10.386188,307.74194,0.6191249883166122,0.21357702420113578,0.5074658761399101,0.4060411708136963,0.0,0.0,0.8827328098674865
r4i1p1f1,20,counterfactual,2012-12-16 12:00:00,57.959248,93.69681,0.934366014258775,0.12718802551064423,0.3410742880148605,0.1442318134737529,0.0,0.6739747255097572,0.0
r4i1p1f1,21,counterfactual,2012-12-16 12:00:00,66.971825,174.08333,0.041120786916111096,0.011804142958884878,0.0,0.0,0.0,0.021137810429245008,0.0
r4i1p1f1,22,counterfactual,2013-09-16 00:00:00,-18.211267,302.91666,0.026358745999056077,0.00039258070073178164,0.0,0.0,0.0,0.0,0.0
r4i1p1f1,23,counterfactual,2013-12-16 12:00:00,52.71748,114.06863,0.7762176426541617,0.1752760554100139,0.25481054522683133,0.1508638618119108,0.0,0.8097634709491497,0.17732776533033257
r5i1p1f1,0,factual,2005-02-15 00:00:00,63.043976,259.1837,0.9389149966376575,0.9562384755904543,0.9115994770157729,0.8866096401246313,0.7971965193310633,0.9993656391993476,0.0
r5i1p1f1,1,factual,2007-02-15 00:00:00,14.171182,14.230769,0.7388620158747892,0.997598642602467,0.1669271605245627,0.126991469425918,0.9550349939827327,0.0,0.9956836293516846
r5i1p1f1,2,factual,2007-12-16 12:00:00,64.33098,78.229164,0.8785191960995875,0.9923687998238842,0.9941684602743421,0.9608470262764472,0.9212546830286763,0.9999003721409835,0.0
r5i1p1f1,3,factual,2008-01-16 12:00:00,65.563385,29.027779,0.937402945268989,0.9988356317664073,0.9728157588011216,0.718278664696592,0.9940483980597138,0.7688899686064878,0.9730641650438396
r5i1p1f1,4,factual,2009-01-16 12:00:00,57.733673,43.636364,0.9329754702469903,0.9829098980633909,0.997631357902837,0.7148033141321519,0.8819242009607526,0.9927830517663935,0.0
