member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian
r9i1p1f1,30,counterfactual,2006-01-16 12:00:00,79.85915,332.5,0.010323190714817132,0.05490335170453964,0.009657912060683116,0.0,0.0
r9i1p1f1,31,counterfactual,2006-02-15 00:00:00,15.274648,351.8125,0.08743746334983082,0.01885804906273636,0.0,0.0,0.031707637863036764
r9i1p1f1,32,counterfactual,2006-02-15 00:00:00,39.350292,107.150536,0.05996833746597663,0.011681308657856437,0.0,0.0,0.0
r9i1p1f1,33,counterfactual,2006-02-15 00:00:00,48.570942,133.90244,0.007482007656000045,0.011020120240189946,0.008733378698534855,0.0,0.0
r9i1p1f1,34,counterfactual,2006-03-16 12:00:00,13.593977,19.597702,0.19646895316823587,0.03863577347174807,0.0,0.0,0.6482456265272801
r9i1p1f1,35,counterfactual,2006-03-16 12:00:00,21.711115,48.776596,0.16750693509877213,0.08323254676284475,0.0,0.0,0.4698148191575222
r9i1p1f1,36,counterfactual,2006-03-16 12:00:00,71.02553,315.65103,0.21436557093672004,0.165089486023553,0.0,0.0,0.0
r9i1p1f1,37,counterfactual,2006-04-16 00:00:00,-83.746475,37.51282,0.09894456240873428,0.03738698220757586,0.2685818873758099,0.029887653110244328,0.0
r9i1p1f1,38,counterfactual,2006-04-16 00:00:00,-80.44873,347.7035,0.042754077966128845,0.01004519600988596,0.0,0.0,0.0
r9i1p1f1,39,counterfactual,2006-04-16 00:00:00,4.2450056,18.72093,0.18418812845652144,0.035005205036486076,0.0,0.0,0.07220642399236588
r9i1p1f1,40,counterfactual,2006-04-16 00:00:00,15.805457,353.35938,0.2578056741934952,0.15953708573854997,0.0,0.0,0.26745522684199896
r9i1p1f1,41,counterfactual,2006-04-16 00:00:00,22.553816,15.864779,0.1169344518518819,0.05369006959160605,0.0,0.0,0.0
r9i1p1f1,42,counterfactual,2006-06-16 00:00:00,-25.171028,293.0,0.26261237408390914,0.1204577447238967,0.0,0.0,0.5651436949951314
r9i1p1f1,43,counterfactual,2006-07-16 12:00:00,-73.12966,40.294117,0.0018083193045054236,0.0017090190824758933,0.020145471329136244,0.0,0.0
r9i1p1f1,44,counterfactual,2006-07-16 12:00:00,-4.955186,290.22726,0.26289000928106576,0.12110779917732539,0.0,0.0,0.0
r9i1p1f1,45,counterfactual,2006-08-16 12:00:00,-5.424173,290.1744,0.24509375718496373,0.11509852125985309,0.013579923975925556,0.0,0.0
r9i1p1f1,46,counterfactual,2006-09-16 00:00:00,51.488934,90.47619,0.23497085688031927,0.05284452369889747,0.0,0.0,0.0
r9i1p1f1,47,counterfactual,2006-10-16 12:00:00,46.512943,20.040323,0.36796646170930525,0.13368665174326322,0.0,0.0,0.25413058084737394
r9i1p1f1,48,counterfactual,2006-11-16 00:00:00,48.77641,119.114586,0.6952752268448019,0.365576519345716,0.688526433892878,0.7752167971403429,0.0
r9i1p1f1,49,counterfactual,2006-12-16 12:00:00,57.238956,261.42242,0.4021997881523486,0.1454692398902896,0.38118545204513077,0.12475426416200464,0.0
r9i1p1f1,50,counterfactual,2006-12-16 12:00:00,61.3159,82.71429,0.46651429227686536,0.14946205179843508,0.5201356872858196,0.14723422436819467,0.0
r9i1p1f1,51,counterfactual,2007-01-16 12:00:00,68.0033,31.102942,0.24849680690314202,0.19368387045149527,0.0,0.0,0.10995171094138856
r9i1p1f1,52,counterfactual,2007-02-15 00:00:00,40.392563,270.0,0.08068382451783163,0.030568457524365655,0.0,0.0,0.0
r9i1p1f1,53,counterfactual,2007-02-15 00:00:00,64.9481,171.25,0.735569386102467,0.30686561369035215,0.0,0.7537271319646297,0.9806737449262528
r9i1p1f1,54,counterfactual,2007-04-16 00:00:00,46.41904,253.27434,0.7334449913454625,0.23016751200558028,0.0,0.46155108803877887,0.9984949689890751
r9i1p1f1,55,counterfactual,2007-04-16 00:00:00,51.553783,53.031914,0.3603672158193887,0.13335587313484742,0.0,0.04943291184367993,0.21953992214676288
r9i1p1f1,56,counterfactual,2007-06-16 00:00:00,-81.89191,74.054054,0.4515211393693833,0.1341860669755065,0.0,0.20303488591426178,0.0
r9i1p1f1,57,counterfactual,2007-07-16 12:00:00,-85.205154,152.82608,0.15920430637442862,0.05119231958176096,0.0,0.0,0.7185277168524751
r9i1p1f1,58,counterfactual,2007-09-16 00:00:00,-84.61867,246.74529,0.0057287898336909615,0.007815266966213708,0.0,0.0,0.43731136886529465
r9i1p1f1,59,counterfactual,2007-09-16 00:00:00,59.839725,120.0,0.5209224517923357,0.35405816052774564,0.0,0.03549837974505177,0.2870339947498113
r9i1p1f1,60,counterfactual,2007-10-16 12:00:00,-13.943661,307.04166,0.3482663754101025,0.14462716355176986,0.0,0.0,0.5805162107053385
r9i1p1f1,61,counterfactual,2007-10-16 12:00:00,-12.40717,20.984848,0.28184795005819085,0.051480222951005405,0.275846129506933,0.0,0.06484193316884412
r9i1p1f1,62,counterfactual,2007-11-16 00:00:00,-28.833,303.1746,0.09626237457720321,0.008634520945168367,0.00693884925785293,0.0,0.0
r9i1p1f1,63,counterfactual,2007-11-16 00:00:00,-17.239435,21.0,0.20897602724409903,0.030412816665950637,0.132646295065467,0.0,0.35212732236080657
r9i1p1f1,64,counterfactual,2007-11-16 00:00:00,68.23428,138.93292,0.47424997082010645,0.3530596906386173,0.18330211894568982,0.15494922058534388,0.009289048619625317
r9i1p1f1,65,counterfactual,2007-11-16 00:00:00,69.11288,273.61942,0.2752614731291205,0.12774470565263474,0.4355189034751823,0.00925354640245235,0.0
r9i1p1f1,66,counterfactual,2007-11-16 00:00:00,75.20679,316.03723,0.2165357079930832,0.1195904675389754,0.17091234880103812,0.0,0.0
r9i1p1f1,67,counterfactual,2007-12-16 12:00:00,62.404724,273.2353,0.6787974621972235,0.3455016464328913,0.7545953765239944,0.24159536973979778,0.0
r9i1p1f1,68,counterfactual,2007-12-16 12:00:00,65.13764,172.38637,0.24321659388982153,0.1010054420741513,0.15741799161878056,0.0,0.0
r9i1p1f1,69,counterfactual,2008-01-16 12:00:00,53.18492,288.76343,0.34563551742635756,0.1663396927625499,0.0,0.0,0.0
r9i1p1f1,70,counterfactual,2008-01-16 12:00:00,68.65881,277.91046,0.922308349628769,0.301205090523347,0.0,0.363427191893567,0.0
r9i1p1f1,71,counterfactual,2008-01-16 12:00:00,78.11159,306.2864,0.7668577414362046,0.29490604604070214,0.515649324950749,0.05796967271104447,0.0
