member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r8i1p1f1,17,factual,2014-04-16 00:00:00,46.204227,281.25,0.9900195053258052,0.9695560405765519,0.9914500212777412,0.9999999994206941
r8i1p1f1,18,factual,2014-04-16 00:00:00,48.053776,262.27274,0.9954754232033105,0.6262939052917348,0.9888186434966038,0.9999271062892703
r8i1p1f1,19,factual,2014-11-16 00:00:00,-15.9624405,28.148148,0.9054343777874876,0.9961987489819585,0.80780878366116,0.9999999998040578
r8i1p1f1,0,counterfactual,2010-05-16 12:00:00,48.461544,126.92308,0.5401956039733053,0.1838836439015089,0.2892084775059449,0.5330446587638552
r8i1p1f1,1,counterfactual,2010-07-16 12:00:00,56.661976,14.3125,0.4755318928115131,0.12604875619336608,0.10882096275057196,0.22453694852708184
r8i1p1f1,2,counterfactual,2011-02-15 00:00:00,29.219387,257.41525,0.49511380297139274,0.24676378741173932,0.11988575197623386,0.7102706878256402
r8i1p1f1,3,counterfactual,2011-02-15 00:00:00,43.918804,122.05882,0.7865450445898257,0.19054640880610596,0.7107303274135401,0.933945707575917
r8i1p1f1,4,counterfactual,2011-03-16 12:00:00,48.499687,25.108696,0.004441332270130216,0.004628542225119103,0.0,0.0
r8i1p1f1,5,counterfactual,2011-05-16 12:00:00,31.78765,5.3846154,0.5067448046175926,0.2540367905917069,0.0905203327292301,0.40545856880804554
r8i1p1f1,6,counterfactual,2012-01-16 12:00:00,63.405636,37.0,0.9658158952016893,0.2984416076880534,0.6818868728268519,0.9840258912007884
r8i1p1f1,7,counterfactual,2012-03-16 12:00:00,16.09859,355.25,0.28433142227753005,0.050750020270892704,0.0,0.0
r8i1p1f1,8,counterfactual,2012-03-16 12:00:00,18.507042,3.0,0.35382585584563364,0.07710365629951021,0.0,0.0
r8i1p1f1,9,counterfactual,2012-04-16 00:00:00,-88.253525,166.0,0.19214839106523018,0.0,0.0,0.0
r8i1p1f1,10,counterfactual,2012-04-16 00:00:00,-88.34662,239.89131,0.32164985659736667,0.0,0.05898726964736711,0.07496456584628275
r8i1p1f1,11,counterfactual,2012-04-16 00:00:00,-84.38632,334.2857,0.29271937656868907,0.04812018505538029,0.0,0.0
r8i1p1f1,12,counterfactual,2012-05-16 12:00:00,24.084505,100.90909,0.4020204101135201,0.0,0.0,0.0
r8i1p1f1,13,counterfactual,2013-01-16 12:00:00,65.44014,172.75,0.22034681054632932,0.08809801129200279,0.014872058902342,0.0
r8i1p1f1,14,counterfactual,2013-04-16 00:00:00,49.43662,275.46875,0.2966222948545979,0.0,0.0,0.0
r8i1p1f1,15,counterfactual,2014-01-16 12:00:00,40.225353,271.83334,0.007193159152353634,0.0,0.0,0.0
r8i1p1f1,16,counterfactual,2014-01-16 12:00:00,56.3662,77.333336,7.628862360054001e-06,9.049486550416486e-05,0.0,0.0
r8i1p1f1,17,counterfactual,2014-04-16 00:00:00,46.204227,281.25,0.13039288098163626,0.0,0.0,0.0
r8i1p1f1,18,counterfactual,2014-04-16 00:00:00,48.053776,262.27274,0.3788238377040615,0.0,0.04064178019049991,0.031547897436409844
r8i1p1f1,19,counterfactual,2014-11-16 00:00:00,-15.9624405,28.148148,0.2150884166285224,0.07240557031847805,0.0,0.0
r9i1p1f1,0,factual,2010-01-16 12:00:00,-0.15845071,19.21875,0.6531015014994928,0.9999999970772532,0.0,0.9999999999999677
r9i1p1f1,1,factual,2010-09-16 00:00:00,-8.583501,295.0,0.8506064366177624,0.999999997852065,0.8944051016032322,0.9999999513214297
r9i1p1f1,2,factual,2010-09-16 00:00:00,42.868114,248.40909,0.754859074696716,0.9408860074177013,0.9510902614770811,0.9999910461757315
