member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian,pn_analogue_sparse_sir_3_gaussian,pn_analogue_sparse_sir_10_gaussian
r3i1p1f1,14,counterfactual,2012-04-16 00:00:00,-71.514084,57.708332,0.03316307187196088,0.0076777946968293875,0.061579198514834066,0.0,0.0,0.0,0.7960724686132645
r3i1p1f1,15,counterfactual,2013-01-16 12:00:00,15.35673,10.122951,0.08148712523433677,0.015605539935489188,0.030967816847321084,0.0,0.0,0.0,0.9295984455794947
r3i1p1f1,16,counterfactual,2013-01-16 12:00:00,64.313385,206.00694,0.24966426586028456,0.020921598275520537,0.0,0.0,0.0,0.14041669998261508,0.5497528720509769
r3i1p1f1,17,counterfactual,2013-02-15 00:00:00,15.244626,30.197369,0.15149004398082744,0.008716352924255877,0.002624095115795977,0.0,0.2663928838177456,0.0,0.9021596791720292
r3i1p1f1,18,counterfactual,2013-06-16 00:00:00,-89.1055,174.0849,0.5839891196309624,0.09824301348966558,0.5735912974791328,0.22139593519922984,0.2961180888441558,0.0,0.9472124309213419
r3i1p1f1,19,counterfactual,2013-12-16 12:00:00,67.55111,152.17741,0.9254075308601641,0.3489124489205573,0.5717503424748887,0.706594732685078,0.9616331403103603,0.0,0.5516042139678965
r3i1p1f1,20,counterfactual,2014-06-16 00:00:00,-13.275287,27.5,0.4077867701074446,0.12763419919881425,0.0,0.23289982256674435,0.14239798799944792,0.39924024190903173,0.9588825431175279
r3i1p1f1,21,counterfactual,2014-07-16 12:00:00,-74.061035,92.38426,0.20953150940921683,0.044422154975160666,0.07173937157287835,0.0,0.0,0.0,0.8092662807782262
r3i1p1f1,22,counterfactual,2014-10-16 12:00:00,-14.807103,310.94202,0.2887016942752396,0.13450503653664347,0.22510738270482133,0.01399501634803757,0.0,0.0,0.7339096941476385
r3i1p1f1,23,counterfactual,2014-12-16 12:00:00,68.60915,252.34375,0.6832678692332498,0.20112104284539445,0.2692447014615196,0.0,0.0,0.5804361261122108,0.6340227092314856
r4i1p1f1,0,factual,2004-07-16 12:00:00,-73.8028,97.888885,0.9042082799220862,0.5550096939878335,0.9434730559253155,0.9414651487021244,0.9077424170655187,0.9803252416280362,0.999798001234998
r4i1p1f1,1,factual,2005-01-16 12:00:00,58.672035,263.57144,0.8880455401089763,0.977298716569365,0.9245941041506199,0.999438546919257,0.0,0.0,0.9919535948284853
r4i1p1f1,2,factual,2005-07-16 12:00:00,-89.84055,174.76414,0.8429105772994141,0.7070882763131092,0.9353073380935595,0.6631871682326747,0.984465557308144,0.9973142793155328,0.9999049312127652
r4i1p1f1,3,factual,2005-07-16 12:00:00,-81.12674,138.81818,0.7786943280204848,0.8174074303888226,0.0,0.9399955903162318,0.9999711257787306,0.9999999979210341,0.9997315941906635
r4i1p1f1,4,factual,2006-02-15 00:00:00,18.814886,7.428571,0.8473530638649307,0.9975360382031451,0.0,0.9801116437405814,0.6529706072317574,0.9537127243484438,0.9908717452191674
r4i1p1f1,5,factual,2006-02-15 00:00:00,16.812454,353.75,0.6582862165003323,0.999770066253858,0.9954996860214302,0.9998914775508878,0.9999827055405256,0.9999794756415091,0.9819933828732812
r4i1p1f1,6,factual,2006-04-16 00:00:00,52.028175,258.94446,0.941703294908556,0.8370328188439033,0.0,0.9914071437345832,0.0,0.9996789901647266,0.9999960175612778
