member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_gaussian
r9i1p1f1,187,counterfactual,2014-08-16 12:00:00,-72.3118,127.385056,0.8451883723589129,0.23552515866768275,0.25892127225056905,0.29272261417908574,0.4571691230183694,0.5203845228248762
r9i1p1f1,188,counterfactual,2014-08-16 12:00:00,-7.0811067,33.232758,0.31525696363918587,0.09612871271974266,0.0,0.0,0.14097070166714765,0.43359491016467466
r9i1p1f1,189,counterfactual,2014-09-16 00:00:00,-7.1756525,297.3238,0.3979482327005682,0.23038583811856828,0.0,0.0,0.03112621895406109,0.09045771909328537
r9i1p1f1,190,counterfactual,2014-09-16 00:00:00,-5.1698422,36.42157,0.6293768983682386,0.4021896644941274,0.0,0.22555083958595923,0.5886684824958518,0.5991118348915075
r9i1p1f1,191,counterfactual,2014-10-16 12:00:00,-9.794504,26.994535,0.48061149571458817,0.30355192142507215,0.3639445050666248,0.17757053290221103,0.4316995377478994,0.0
r9i1p1f1,192,counterfactual,2014-10-16 12:00:00,-7.1452303,300.84906,0.2907339413043901,0.13387656671103565,0.09794181942908808,0.0,0.0,0.0
r9i1p1f1,193,counterfactual,2014-11-16 00:00:00,-83.17946,150.30646,0.3449859197628824,0.09854106993371581,0.1926318814487501,0.0,0.06680235135216928,0.16572160226416222
r9i1p1f1,194,counterfactual,2014-11-16 00:00:00,-19.898457,137.44186,0.47520629222501787,0.20437957549361474,0.2853434072468285,0.07648815317127444,0.14846566751749046,0.46934138576183515
r9i1p1f1,195,counterfactual,2014-11-16 00:00:00,-3.7965107,299.1169,0.4589484195995175,0.48894500760807214,0.35056546131116584,0.08920519756048773,0.25362764926455417,0.0
r9i1p1f1,196,counterfactual,2014-11-16 00:00:00,38.73616,82.07358,0.09557425494293204,0.01725568034444569,0.023956282643626814,0.0,0.0011892903325576576,0.5130855749855345
r9i1p1f1,197,counterfactual,2014-12-16 12:00:00,-23.738794,23.363636,0.44029381893509734,0.1262013060125735,0.15867459880416368,0.04379496988539511,0.17880241399856633,0.0
r9i1p1f1,198,counterfactual,2014-12-16 12:00:00,-4.788732,294.5202,0.37345124451761236,0.24302753314644432,0.26566214809477795,0.0,0.03238659618146633,0.0
r9i1p1f1,199,counterfactual,2014-12-16 12:00:00,68.24949,257.5,0.7108419508353112,0.20719129424108584,0.39401643395127817,0.425045639603282,0.6565501646538077,0.3144776936528001
r10i1p1f1,0,factual,2004-01-16 12:00:00,10.259684,5.3125,0.47262628685556285,0.9999755774178731,0.0,0.9734475501817844,0.9980150551086858,0.9993170972957741
