member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian,pn_analogue_sparse_adjusted_gaussian
r4i1p1f1,10,factual,2007-12-16 12:00:00,63.653904,89.52643,0.9996875991502695,0.9787674758227423,0.9999999238727822,0.9960044652248963,0.9999971738876425,1.0,0.9980811574488726,0.9944477109153091
r4i1p1f1,11,factual,2009-01-16 12:00:00,44.584507,102.763885,0.842856678910614,0.9823690126030048,0.9999706357157145,0.9981113246556645,0.9958252183982241,1.0,0.9997945752446343,0.9991938572991617
r4i1p1f1,12,factual,2009-03-16 12:00:00,46.824585,57.878788,0.9270663873029524,0.9345549571011793,0.4353009350546817,0.9640633535722123,0.9996546988545972,0.99991809443296,0.9999736432925035,0.9999574837352155
r4i1p1f1,13,factual,2009-05-16 12:00:00,-82.788734,7.9444447,0.5352286265868569,0.6669553392738665,0.9229229817755751,0.9759934510060922,0.9852815312334057,0.9999773802618281,0.368675103176314,0.0
r4i1p1f1,14,factual,2009-05-16 12:00:00,-82.448875,339.8925,0.991790443584375,0.7664187669541869,0.9989330539568189,0.9954099234197398,0.9998466795729628,1.0,0.9918204305677242,0.9874979739311678
r4i1p1f1,15,factual,2009-05-16 12:00:00,19.90141,98.5,0.8866924518492302,0.9933251828732651,0.0,0.7864862345737279,0.9999987522339442,1.0,0.999616511216961,0.9995126546486207
r4i1p1f1,16,factual,2009-06-16 00:00:00,-30.115238,297.42426,0.7864197294755946,0.8697369079433602,0.9969751227150947,0.959271370210604,0.9806581945428638,1.0,0.9701933418436434,0.9346531064354695
r4i1p1f1,17,factual,2010-12-16 12:00:00,36.81952,275.75583,0.9349631869250188,0.9730551451948751,0.992628728761573,0.9917747304350478,0.9999580905454328,1.0,-0.16710528353039678,0.0
r4i1p1f1,18,factual,2011-07-16 12:00:00,-86.71369,163.69403,0.9386635741853521,0.7477187391956925,0.9957481291826407,0.9648670494301133,0.9987807407458071,1.0,0.8403510898226658,0.9090274193453516
r4i1p1f1,19,factual,2012-10-16 12:00:00,-10.386188,307.74194,0.905319469650514,0.9999929264113958,0.9774759021016249,0.9985060913309184,0.9999981131975921,1.0,0.9986892221033274,0.9980383185780302
r4i1p1f1,20,factual,2012-12-16 12:00:00,57.959248,93.69681,0.9996520732741002,0.971127170973924,0.999446449830611,0.9968963500024548,0.9999708089315564,0.9999993213301708,0.9997824607411696,0.9990348018300462
r4i1p1f1,21,factual,2012-12-16 12:00:00,66.971825,174.08333,0.9962811261838079,0.9847615607467494,0.9811518493196975,0.9912172760653674,0.9999999574431349,1.0,0.9830256735231295,0.9643728744371953
r4i1p1f1,22,factual,2013-09-16 00:00:00,-18.211267,302.91666,0.8280778099298994,0.997227482416505,0.0,0.943490204260635,0.9979116684907712,1.0,0.9999999979379386,0.9999999965770351
r4i1p1f1,23,factual,2013-12-16 12:00:00,52.71748,114.06863,0.968381353676272,0.9722204795501391,0.9999611367302916,0.9952715372592265,0.999817052195423,0.9999867301900391,0.98971364101632,0.9634432292833047
r4i1p1f1,0,counterfactual,2004-07-16 12:00:00,-73.8028,97.888885,0.09957713082833353,0.0,0.0,0.0,0.003090660797589684,0.0,-0.0951664307587925,0.4213837315720843
r4i1p1f1,1,counterfactual,2005-01-16 12:00:00,58.672035,263.57144,0.40114526122817795,0.0,0.3946362234541033,0.24061730436643214,0.5265790675220561,0.0,-1.2356150237958166,0.0
r4i1p1f1,2,counterfactual,2005-07-16 12:00:00,-89.84055,174.76414,0.3060507968980867,0.0,0.256913883759038,0.08519624483675581,0.14660045108877728,0.0,-0.38696527177598905,0.0
r4i1p1f1,3,counterfactual,2005-07-16 12:00:00,-81.12674,138.81818,0.5692090528768059,0.0,0.69636487618822,0.4716243955170638,0.5085240312286373,0.0,0.2947297952406429,0.21813628228367976
